Date,Open,High,Low,Close,Volume,Adj Close
2014-12-11,112.26,113.8,111.34,111.62,41471578,102.3051
2014-12-12,110.46,111.87,109.58,109.73,56028138,100.5729
2014-12-15,110.7,111.6,106.35,108.225,67218082,99.1935
2014-12-16,106.37,110.16,106.26,106.745,60790733,97.837
2014-12-17,107.12,109.84,106.82,109.41,53411773,100.2796
2014-12-18,111.87,112.65,110.66,112.65,59006218,103.2492
2014-12-19,112.26,113.24,111.66,111.78,88429770,102.4518
2014-12-22,112.16,113.49,111.97,112.94,45167549,103.515
2014-12-23,113.23,113.33,112.46,112.54,26028419,103.1484
2014-12-24,112.58,112.71,112.01,112.01,14479611,102.6626
2014-12-26,112.1,114.52,112.01,113.99,33720951,104.4774
2014-12-29,113.79,114.77,113.7,113.91,27598920,104.404
2014-12-30,113.64,113.92,112.11,112.52,29881477,103.13
2014-12-31,112.82,113.13,110.21,110.38,41403351,101.1686
2015-01-02,111.39,111.44,107.35,109.33,53204626,100.2062
2015-01-05,108.29,108.65,105.41,106.25,64285491,97.3833
2015-01-06,106.54,107.43,104.63,106.26,65797116,97.3924
2015-01-07,107.2,108.2,106.695,107.75,40105934,98.7581
2015-01-08,109.23,112.15,108.7,111.89,59364547,102.5526
2015-01-09,112.67,113.25,110.21,112.01,53315099,102.6626
2015-01-12,112.6,112.63,108.8,109.25,49650790,100.1329
2015-01-13,111.43,112.8,108.91,110.22,67091928,101.022
2015-01-14,109.04,110.49,108.5,109.8,48956588,100.637
2015-01-15,110.0,110.06,106.66,106.82,60013996,97.9057
2015-01-16,107.03,107.58,105.2,105.99,78513345,97.145
2015-01-20,107.84,108.9667,106.5,108.72,49899907,99.6472
2015-01-21,108.95,111.06,108.27,109.55,48575897,100.4079
2015-01-22,110.26,112.47,109.72,112.4,53796409,103.0201
2015-01-23,112.3,113.75,111.53,112.98,46464828,103.5517
2015-01-26,113.74,114.3626,112.8,113.1,55614979,103.6616
2015-01-27,112.42,112.48,109.03,109.14,95568749,100.0321
2015-01-28,117.625,118.12,115.31,115.31,146477063,105.6872
2015-01-29,116.32,119.19,115.56,118.9,84436432,108.9776
2015-01-30,118.4,120.0,116.85,117.16,83745461,107.3828
2015-02-02,118.05,119.17,116.08,118.63,62739100,108.7301
2015-02-03,118.5,119.09,117.61,118.65,51915749,108.7485
2015-02-04,118.5,120.51,118.309,119.56,70149743,109.5825
2015-02-05,120.02,120.23,119.25,119.94,42246245,110.3616
2015-02-06,120.02,120.25,118.45,118.93,43706567,109.4323
2015-02-09,118.55,119.84,118.43,119.72,38889797,110.1592
2015-02-10,120.17,122.15,120.16,122.02,62008506,112.2755
2015-02-11,122.77,124.92,122.5,124.88,73561797,114.9071
2015-02-12,126.06,127.48,125.57,126.46,74474466,116.3609
2015-02-13,127.28,127.28,125.65,127.08,54272219,116.9314
2015-02-17,127.49,128.88,126.92,127.83,63152405,117.6215
2015-02-18,127.625,128.78,127.45,128.715,44891737,118.4358
2015-02-19,128.48,129.03,128.33,128.45,37362381,118.192
2015-02-20,128.62,129.5,128.05,129.495,48948419,119.1535
2015-02-23,130.02,133.0,129.66,133.0,70974110,122.3786
2015-02-24,132.94,133.6,131.17,132.17,69228130,121.6149
2015-02-25,131.56,131.6,128.15,128.79,74711746,118.5048
2015-02-26,128.785,130.87,126.61,130.415,91287529,120.0001
2015-02-27,130.0,130.57,128.24,128.46,62014847,118.2012
2015-03-02,129.25,130.28,128.3,129.09,48096663,118.7809
2015-03-03,128.96,129.52,128.09,129.36,37816283,119.0293
2015-03-04,129.1,129.56,128.32,128.54,31666340,118.2748
2015-03-05,128.58,128.75,125.76,126.41,56517146,116.3149
2015-03-06,128.4,129.37,126.26,126.6,72842060,116.4897
2015-03-09,127.96,129.57,125.06,127.14,88528487,116.9866
2015-03-10,126.41,127.22,123.8,124.51,68856582,114.5666
2015-03-11,124.75,124.77,122.11,122.24,68938974,112.4779
2015-03-12,122.31,124.9,121.63,124.45,48362719,114.5114
2015-03-13,124.4,125.3951,122.58,123.59,51827283,113.7201
2015-03-16,123.88,124.95,122.87,124.95,35874300,114.9715
2015-03-17,125.9,127.32,125.65,127.04,51023104,116.8946
2015-03-18,127.0,129.16,126.37,128.47,65270945,118.2104
2015-03-19,128.75,129.2451,127.4,127.495,45809490,117.3133
2015-03-20,128.25,128.4,125.16,125.9,68695136,115.8456
2015-03-23,127.12,127.85,126.52,127.21,37709674,117.051
2015-03-24,127.23,128.04,126.56,126.69,32842304,116.5726
2015-03-25,126.54,126.82,123.38,123.38,51655177,113.5269
2015-03-26,122.76,124.88,122.6,124.24,47572869,114.3182
2015-03-27,124.57,124.7,122.91,123.25,39546151,113.4073
2015-03-30,124.05,126.4,124.0,126.37,47099670,116.2781
2015-03-31,126.09,126.49,124.355,124.43,42090553,114.493
2015-04-01,124.82,125.12,123.1,124.25,40621437,114.3274
2015-04-02,125.03,125.56,124.19,125.32,32220131,115.312
2015-04-06,124.47,127.51,124.33,127.35,37193975,117.1798
2015-04-07,127.64,128.1218,125.98,126.01,35012268,115.9469
2015-04-08,125.85,126.4,124.97,125.6,37329243,115.5696
2015-04-09,125.85,126.58,124.66,126.56,32483974,116.4529
2015-04-10,125.95,127.21,125.26,127.1,40187953,116.9498
2015-04-13,128.37,128.57,126.61,126.85,36365123,116.7198
2015-04-14,127.0,127.29,125.91,126.3,25524593,116.2137
2015-04-15,126.41,127.13,126.01,126.78,28970419,116.6554
2015-04-16,126.28,127.1,126.11,126.17,28368987,116.0941
2015-04-17,125.55,126.14,124.46,124.75,51957046,114.7875
2015-04-20,125.57,128.12,125.17,127.6,47054310,117.4099
2015-04-21,128.1,128.2,126.67,126.91,32435057,116.775
2015-04-22,126.99,128.87,126.32,128.62,37654505,118.3484
2015-04-23,128.3,130.42,128.14,129.67,45770902,119.3146
2015-04-24,130.49,130.63,129.23,130.28,44525905,119.8759
2015-04-27,132.31,133.13,131.15,132.65,96954207,122.0566
2015-04-28,134.455,134.54,129.57,130.56,118923970,120.1335
2015-04-29,130.16,131.59,128.3,128.64,63386083,118.3668
2015-04-30,127.5,127.88,124.58,125.15,83195423,115.1555
2015-05-01,126.1,130.13,125.3,128.95,58512638,118.6521
2015-05-04,129.5,130.57,128.26,128.7,50988278,118.422
2015-05-05,128.15,128.4498,125.78,125.8,49271416,115.7536
2015-05-06,126.56,126.75,123.36,125.01,72141010,115.0267
2015-05-07,124.77,126.08,124.02,125.26,43940895,115.7352
2015-05-08,126.68,127.62,126.11,127.62,55550382,117.9158
2015-05-11,127.39,127.56,125.625,126.32,42035757,116.7146
2015-05-12,125.6,126.88,124.82,125.865,48160032,116.2942
2015-05-13,126.15,127.19,125.87,126.01,34694235,116.4282
2015-05-14,127.41,128.95,127.16,128.95,45203456,119.1446
