datetime,open,high,low,close
2015-09-21T21:00:00.000000000Z,0.71325,0.71396,0.71222,0.71356
2015-09-22T01:00:00.000000000Z,0.71360,0.71480,0.71273,0.71284
2015-09-22T05:00:00.000000000Z,0.71280,0.71588,0.71132,0.71145
2015-09-22T09:00:00.000000000Z,0.71141,0.71200,0.70781,0.70842
2015-09-22T13:00:00.000000000Z,0.70846,0.70868,0.70567,0.70758
2015-09-22T17:00:00.000000000Z,0.70761,0.70958,0.70719,0.70896
2015-09-22T21:00:00.000000000Z,0.70908,0.70912,0.70712,0.70806
2015-09-23T01:00:00.000000000Z,0.70801,0.70846,0.70194,0.70274
2015-09-23T05:00:00.000000000Z,0.70270,0.70502,0.70244,0.70489
2015-09-23T09:00:00.000000000Z,0.70484,0.70648,0.70391,0.70440
2015-09-23T13:00:00.000000000Z,0.70436,0.70538,0.69993,0.70122
2015-09-23T17:00:00.000000000Z,0.70118,0.70160,0.69892,0.70038
2015-09-23T21:00:00.000000000Z,0.70064,0.70133,0.69928,0.70019
2015-09-24T01:00:00.000000000Z,0.70015,0.70233,0.69918,0.69938
2015-09-24T05:00:00.000000000Z,0.69935,0.70036,0.69554,0.69568
2015-09-24T09:00:00.000000000Z,0.69572,0.69677,0.69388,0.69664
2015-09-24T13:00:00.000000000Z,0.69668,0.70149,0.69602,0.70050
2015-09-24T17:00:00.000000000Z,0.70055,0.70426,0.69999,0.70252
2015-09-24T21:00:00.000000000Z,0.70093,0.70230,0.69792,0.70105
2015-09-25T01:00:00.000000000Z,0.70100,0.70186,0.69922,0.70120
2015-09-25T05:00:00.000000000Z,0.70124,0.70425,0.69982,0.70215
2015-09-25T09:00:00.000000000Z,0.70210,0.70226,0.69908,0.70126
2015-09-25T13:00:00.000000000Z,0.70122,0.70316,0.70036,0.70270
2015-09-25T17:00:00.000000000Z,0.70274,0.70343,0.70158,0.70260
2015-09-27T21:00:00.000000000Z,0.70291,0.70303,0.70082,0.70268
2015-09-28T01:00:00.000000000Z,0.70272,0.70362,0.70170,0.70221
2015-09-28T05:00:00.000000000Z,0.70217,0.70362,0.70104,0.70270
2015-09-28T09:00:00.000000000Z,0.70266,0.70338,0.69820,0.69924
2015-09-28T13:00:00.000000000Z,0.69920,0.70126,0.69792,0.69984
2015-09-28T17:00:00.000000000Z,0.69988,0.69992,0.69800,0.69893
2015-09-28T21:00:00.000000000Z,0.69888,0.69888,0.69576,0.69581
2015-09-29T01:00:00.000000000Z,0.69578,0.69646,0.69458,0.69500
